match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick
53713,119678,ZETA,12,TS,14,opponent win,Ascent,team pick
53713,119678,TS,14,ZETA,12,team win,Ascent,opponent pick
53714,119680,T1,13,GEN,8,team win,Fracture,team pick
53714,119680,GEN,8,T1,13,opponent win,Fracture,opponent pick
53714,119681,T1,11,GEN,13,opponent win,Ascent,opponent pick
53714,119681,GEN,13,T1,11,team win,Ascent,team pick
53714,119682,T1,13,GEN,7,team win,Lotus,opponent pick
53714,119682,GEN,7,T1,13,opponent win,Lotus,opponent pick
53715,119683,DRX,9,TS,13,opponent win,Haven,opponent pick
53715,119683,TS,13,DRX,9,team win,Haven,team pick
53715,119684,DRX,13,TS,5,team win,Split,team pick
53715,119684,TS,5,DRX,13,opponent win,Split,opponent pick
53715,119685,DRX,13,TS,4,team win,Bind,opponent pick
53715,119685,TS,4,DRX,13,opponent win,Bind,opponent pick
53716,119686,PRX,13,T1,10,team win,Lotus,opponent pick
53716,119686,T1,10,PRX,13,opponent win,Lotus,team pick
53716,119687,PRX,13,T1,10,team win,Fracture,team pick
53716,119687,T1,10,PRX,13,opponent win,Fracture,opponent pick
53718,119692,TS,13,GEN,8,team win,Ascent,opponent pick
53718,119692,GEN,8,TS,13,opponent win,Ascent,team pick
53718,119693,TS,8,GEN,13,opponent win,Haven,team pick
53718,119693,GEN,13,TS,8,team win,Haven,opponent pick
53718,119694,TS,12,GEN,14,opponent win,Split,opponent pick
53718,119694,GEN,14,TS,12,team win,Split,opponent pick
53717,119689,T1,13,ZETA,10,team win,Haven,opponent pick
53717,119689,ZETA,10,T1,13,opponent win,Haven,team pick
53717,119690,T1,12,ZETA,14,opponent win,Bind,team pick
53717,119690,ZETA,14,T1,12,team win,Bind,opponent pick
53717,119691,T1,13,ZETA,10,team win,Fracture,opponent pick
53717,119691,ZETA,10,T1,13,opponent win,Fracture,opponent pick
53719,119695,DRX,5,PRX,13,opponent win,Fracture,opponent pick
53719,119695,PRX,13,DRX,5,team win,Fracture,team pick
53719,119696,DRX,6,PRX,13,opponent win,Bind,team pick
53719,119696,PRX,13,DRX,6,team win,Bind,opponent pick
53720,119698,T1,13,GEN,10,team win,Fracture,team pick
53720,119698,GEN,10,T1,13,opponent win,Fracture,opponent pick
53720,119699,T1,13,GEN,10,team win,Ascent,opponent pick
53720,119699,GEN,10,T1,13,opponent win,Ascent,team pick
58569,131114,BNY,13,SPB,6,team win,Bind,opponent pick
58569,131114,SPB,6,BNY,13,opponent win,Bind,opponent pick
53721,119701,DRX,11,T1,13,opponent win,Ascent,team pick
53721,119701,T1,13,DRX,11,team win,Ascent,opponent pick
53721,119702,DRX,13,T1,11,team win,Fracture,opponent pick
53721,119702,T1,11,DRX,13,opponent win,Fracture,team pick
53721,119703,DRX,13,T1,11,team win,Haven,team pick
53721,119703,T1,11,DRX,13,opponent win,Haven,opponent pick
53721,119704,DRX,6,T1,13,opponent win,Bind,opponent pick
53721,119704,T1,13,DRX,6,team win,Bind,team pick
53721,119705,DRX,13,T1,9,team win,Pearl,opponent pick
53721,119705,T1,9,DRX,13,opponent win,Pearl,opponent pick
53722,119706,PRX,6,DRX,13,opponent win,Fracture,team pick
53722,119706,DRX,13,PRX,6,team win,Fracture,opponent pick
53722,119708,PRX,14,DRX,16,opponent win,Ascent,opponent pick
53722,119708,DRX,16,PRX,14,team win,Ascent,team pick
53722,119712,PRX,13,DRX,8,team win,Pearl,opponent pick
53722,119712,DRX,8,PRX,13,opponent win,Pearl,team pick
53722,119714,PRX,13,DRX,6,team win,Bind,opponent pick
53722,119714,DRX,6,PRX,13,opponent win,Bind,opponent pick
53722,131784,PRX,13,DRX,3,team win,Lotus,team pick
53722,131784,DRX,3,PRX,13,opponent win,Lotus,opponent pick
52769,117164,KOI,13,NAVI,7,team win,Ascent,opponent pick
52769,117164,NAVI,7,KOI,13,opponent win,Ascent,team pick
52769,117165,KOI,20,NAVI,18,team win,Lotus,team pick
52769,117165,NAVI,18,KOI,20,opponent win,Lotus,opponent pick
52768,117161,FNC,13,GIA,3,team win,Icebox,team pick
52768,117161,GIA,3,FNC,13,opponent win,Icebox,opponent pick
52768,117162,FNC,13,GIA,11,team win,Split,opponent pick
52768,117162,GIA,11,FNC,13,opponent win,Split,team pick
52770,117167,TH,4,FUT,13,opponent win,Pearl,team pick
52770,117167,FUT,13,TH,4,team win,Pearl,opponent pick
52770,117168,TH,9,FUT,13,opponent win,Lotus,opponent pick
52770,117168,FUT,13,TH,9,team win,Lotus,team pick
52771,117170,TL,6,VIT,13,opponent win,Haven,opponent pick
52771,117170,VIT,13,TL,6,team win,Haven,team pick
52771,117171,TL,13,VIT,2,team win,Fracture,team pick
52771,117171,VIT,2,TL,13,opponent win,Fracture,opponent pick
52771,117172,TL,10,VIT,13,opponent win,Lotus,opponent pick
52771,117172,VIT,13,TL,10,team win,Lotus,opponent pick
52772,117173,NAVI,15,GIA,17,opponent win,Icebox,team pick
52772,117173,GIA,17,NAVI,15,team win,Icebox,opponent pick
52772,117174,NAVI,15,GIA,13,team win,Split,opponent pick
52772,117174,GIA,13,NAVI,15,opponent win,Split,team pick
52772,117175,NAVI,13,GIA,7,team win,Pearl,opponent pick
52772,117175,GIA,7,NAVI,13,opponent win,Pearl,opponent pick
52773,117176,KC,19,BBL,17,team win,Icebox,opponent pick
52773,117176,BBL,17,KC,19,opponent win,Icebox,team pick
52773,117177,KC,13,BBL,11,team win,Split,team pick
52773,117177,BBL,11,KC,13,opponent win,Split,opponent pick
52774,117179,TL,10,FUT,13,opponent win,Lotus,opponent pick
52774,117179,FUT,13,TL,10,team win,Lotus,team pick
52774,117180,TL,13,FUT,6,team win,Split,team pick
52774,117180,FUT,6,TL,13,opponent win,Split,opponent pick
52774,117181,TL,13,FUT,6,team win,Ascent,opponent pick
52774,117181,FUT,6,TL,13,opponent win,Ascent,opponent pick
52775,117182,KOI,9,VIT,13,opponent win,Split,opponent pick
52775,117182,VIT,13,KOI,9,team win,Split,team pick
52775,117183,KOI,13,VIT,15,opponent win,Fracture,team pick
52775,117183,VIT,15,KOI,13,team win,Fracture,opponent pick
52776,117185,FNC,6,BBL,13,opponent win,Ascent,opponent pick
52776,117185,BBL,13,FNC,6,team win,Ascent,team pick
