game_id,player_id,player,agent,acs,kill,death,assist
117173,10,rhyme,sage,116,12,25,9
117174,2858,SUYGETSU,viper,163,17,21,4
117174,2690,hoody,viper,168,15,20,9
117175,109,ANGE1,gekko,136,10,11,4
117175,292,Fit1nho,jett,179,11,18,5
117176,2625,sh1n,gekko,157,20,24,6
117176,1481,AsLanM4shadoW,sage,163,20,25,13
117177,2625,sh1n,gekko,164,14,18,9
117177,10161,QutionerX,raze,160,12,19,5
117179,101,soulcas,kayo,140,9,15,13
117179,8044,MrFaliN,omen,125,11,17,8
117180,1427,Redgar,omen,169,9,11,14
117180,10125,qw1,raze,114,6,15,5
117181,1427,Redgar,omen,164,11,13,11
117181,1139,qRaxs,kayo,152,9,18,8
117182,2168,trexx,raze,189,14,19,5
117182,1615,Destrian,omen,116,8,16,8
117183,339,koldamenta,brimstone,133,14,19,11
117183,1615,Destrian,breach,130,12,21,14
117185,438,Boaster,omen,98,6,16,9
117185,8041,Brave,omen,147,11,13,3
117186,458,Chronicle,breach,178,14,15,16
117186,556,SouhcNi,sova,130,9,17,6
117187,5022,Derke,raze,199,16,19,2
117187,568,Turko,breach,142,11,18,6
117188,93,Mixwell,harbor,180,12,11,6
117188,2622,Newzera,viper,101,7,12,2
117189,93,Mixwell,sage,172,9,9,6
117189,92,ScreaM,raze,106,5,14,0
119187,1137,Twisten,raze,145,7,15,4
119187,3604,MOJJ,killjoy,182,10,12,6
119188,1137,Twisten,jett,182,14,19,3
119188,1139,qRaxs,gekko,122,8,16,10
119190,109,ANGE1,omen,173,15,18,12
119190,556,SouhcNi,sova,122,8,16,7
119191,384,Shao,omen,221,16,16,7
119191,1481,AsLanM4shadoW,killjoy,142,11,17,1
119193,9810,Alfajer,killjoy,109,6,6,4
119193,3582,keloqz,jett,123,5,15,4
119194,458,Chronicle,kayo,220,14,13,9
119194,3582,keloqz,phoenix,135,9,17,6
119196,1427,Redgar,omen,194,12,12,7
119196,2622,Newzera,breach,87,5,11,3
119197,101,soulcas,sage,145,7,8,8
119197,92,ScreaM,raze,77,2,14,2
119199,9558,Wolfen,killjoy,132,5,14,5
119199,292,Fit1nho,jett,209,12,7,1
119200,9558,Wolfen,jett,71,5,21,3
119200,10,rhyme,omen,193,17,16,7
119202,109,ANGE1,gekko,186,11,9,3
119202,562,zeek,skye,92,4,15,4
119203,573,cNed,omen,130,9,16,10
119203,3582,keloqz,neon,191,14,16,3
119204,573,cNed,jett,167,11,7,0
